prodcodeid,category,also_0303cromo
"13741241000033114","laba-ics",""
"8101741000033115","laba-ics",""
"10735141000033116","laba-ics",""
"13743941000033118","laba-ics",""
"10740141000033110","laba-ics",""
"11707341000033113","laba-ics",""
"4418241000033117","laba-ics",""
"12635041000033116","laba-ics",""
"3163941000033115","laba-ics",""
"12529241000033119","laba-ics",""
"3163841000033111","laba-ics",""
"12634941000033116","laba-ics",""
"12579541000033118","laba-ics",""
"12579341000033113","laba-ics",""
"9293341000033116","laba-lama",""
"9293241000033114","laba-lama",""
"9851941000033115","laba-lama",""
"13767941000033116","laba-lama",""
"9995741000033115","laba-lama",""
"10589141000033112","laba-lama",""
"13179141000033113","laba-lama",""
"9995641000033112","laba-lama",""
"9852041000033114","laba-lama",""
"13768041000033118","laba-lama",""
"13178541000033111","laba-lama",""
"13178641000033112","laba-lama",""
"10589241000033117","laba-lama",""
"11789041000033118","lama",""
"13844541000033111","lama",""
"2793541000033114","lama",""
"9703641000033117","lama",""
"8056941000033114","lama",""
"13859141000033118","lama",""
"2793641000033110","lama",""
"8141841000033119","lama",""
"11788941000033110","lama",""
"4270641000033112","lama",""
"8057341000033112","lama",""
"13844641000033112","lama",""
"13178841000033113","lama",""
"2793841000033111","lama",""
"9703441000033119","lama",""
"8141741000033112","lama",""
"13178741000033115","lama",""
"4270741000033115","lama",""
"2793741000033118","lama",""
"2622741000033114","saba",""
"1419341000033114","saba",""
"2086541000033119","saba",""
"2726241000033113","saba",""
"130441000033115","saba",""
"82541000033119","saba",""
"1429441000033110","saba",""
"131241000033111","saba",""
"1905741000033111","saba",""
"1221541000033113","saba",""
"160941000033118","saba",""
"22741000033118","saba",""
"4498941000033110","saba",""
"1505741000033119","saba",""
"2174141000033117","saba",""
"158441000033117","saba",""
"1206241000033111","saba",""
"567541000033119","saba",""
"1905641000033119","saba",""
"1907641000033113","saba",""
"1905441000033116","saba",""
"1250241000033117","saba",""
"1221441000033112","saba",""
"1206041000033115","saba",""
"1510541000033116","saba",""
"4499141000033119","saba",""
"1241441000033110","saba",""
"857241000033112","saba",""
"1241241000033114","saba",""
"1241941000033117","saba",""
"1252341000033111","saba",""
"1207741000033115","saba",""
"1506941000033110","saba",""
"1228341000033112","saba",""
"1903141000033113","saba",""
"563541000033110","saba",""
"1222341000033110","saba",""
"1714241000033112","saba",""
"3343941000033118","saba",""
"1510641000033115","saba",""
"1506841000033119","saba",""
"139041000033119","saba",""
"19841000033111","saba",""
"1228441000033118","saba",""
"83741000033117","saba",""
"160241000033110","saba",""
"1705441000033110","saba",""
"569541000033113","saba",""
"1508041000033110","saba",""
"2864041000033119","saba",""
"1510441000033117","saba",""
"1579541000033118","saba",""
"1510741000033112","saba",""
"1714141000033117","saba",""
"20041000033117","saba",""
"20441000033114","saba","1"
"3198541000033119","saba",""
"567841000033117","saba",""
"160441000033111","saba",""
"1228941000033111","saba",""
"2952141000033110","saba",""
"19941000033115","saba",""
"157241000033119","saba",""
"6029541000033117","saba",""
"1228841000033115","saba",""
"3198641000033118","saba",""
"1221341000033118","saba",""
"1252441000033117","saba",""
"1252241000033118","saba",""
"1907541000033112","saba",""
"2588241000033119","saba",""
